tokenID,name,description,file_name,external_url,attributes[Palette],attributes[Scale],attributes[Style],attributes[Half],attributes[Pair],attributes[Twin],attributes[Seed]
1,Brocca #001,"Brocca, Edition half of pair 001 of 250. Morandi — the vessel and the air around it. Medium scale, mixed-style, rendered deterministically from seed njed0bry. Its Twin is Fiato: free to claim for whoever holds this piece.",filament_1777568401717_0004_njed0bry_Morandi_medium.webp,https://unrealfilament.art/edition/#001,Morandi,Medium,Mixed-style,Edition,1,Fiato,njed0bry
2,Boccale #002,"Boccale, Edition half of pair 002 of 250. Morandi — the vessel and the air around it. Jumbo scale, beads, rendered deterministically from seed 69fkxzjy. Its Twin is Velo: free to claim for whoever holds this piece.",filament_1777569571552_0056_69fkxzjy_Morandi_jumbo.webp,https://unrealfilament.art/edition/#002,Morandi,Jumbo,Beads,Edition,2,Velo,69fkxzjy
3,Ciotola #003,"Ciotola, Edition half of pair 003 of 250. Morandi — the vessel and the air around it. Jumbo scale, beads, rendered deterministically from seed rbrft6ji. Its Twin is Bruma: free to claim for whoever holds this piece.",filament_1777569588985_0084_rbrft6ji_Morandi_jumbo.webp,https://unrealfilament.art/edition/#003,Morandi,Jumbo,Beads,Edition,3,Bruma,rbrft6ji
4,Vaso #004,"Vaso, Edition half of pair 004 of 250. Morandi — the vessel and the air around it. Small scale, beads, rendered deterministically from seed dgo7y2qy. Its Twin is Foschia: free to claim for whoever holds this piece.",filament_1777570215331_0028_dgo7y2qy_Morandi_small.webp,https://unrealfilament.art/edition/#004,Morandi,Small,Beads,Edition,4,Foschia,dgo7y2qy
5,Scatola #005,"Scatola, Edition half of pair 005 of 250. Morandi — the vessel and the air around it. Large scale, mixed-style, rendered deterministically from seed 9ik6v3ka. Its Twin is Pulviscolo: free to claim for whoever holds this piece.",filament_1777570349787_0097_9ik6v3ka_Morandi_large.webp,https://unrealfilament.art/edition/#005,Morandi,Large,Mixed-style,Edition,5,Pulviscolo,9ik6v3ka
6,Bottiglia #006,"Bottiglia, Edition half of pair 006 of 250. Morandi — the vessel and the air around it. Large scale, beads, rendered deterministically from seed 7kb4tvzb. Its Twin is Chiarore: free to claim for whoever holds this piece.",filament_1777667023325_0010_7kb4tvzb_Morandi_large.webp,https://unrealfilament.art/edition/#006,Morandi,Large,Beads,Edition,6,Chiarore,7kb4tvzb
7,Tazza #007,"Tazza, Edition half of pair 007 of 250. Morandi — the vessel and the air around it. Mixed scale, mixed-style, rendered deterministically from seed pj81xpqc. Its Twin is Respiro: free to claim for whoever holds this piece.",filament_1777667041920_0012_pj81xpqc_Morandi_mixed.webp,https://unrealfilament.art/edition/#007,Morandi,Mixed,Mixed-style,Edition,7,Respiro,pj81xpqc
8,Anfora #008,"Anfora, Edition half of pair 008 of 250. Morandi — the vessel and the air around it. Mixed scale, mixed-style, rendered deterministically from seed zbxhmsiq. Its Twin is Sospiro: free to claim for whoever holds this piece.",filament_1777667053146_0008_zbxhmsiq_Morandi_mixed.webp,https://unrealfilament.art/edition/#008,Morandi,Mixed,Mixed-style,Edition,8,Sospiro,zbxhmsiq
9,Coppa #009,"Coppa, Edition half of pair 009 of 250. Morandi — the vessel and the air around it. Mixed scale, mixed-style, rendered deterministically from seed 1gw4vyuw. Its Twin is Nebbia: free to claim for whoever holds this piece.",filament_1777667056954_0012_1gw4vyuw_Morandi_mixed.webp,https://unrealfilament.art/edition/#009,Morandi,Mixed,Mixed-style,Edition,9,Nebbia,1gw4vyuw
10,Barattolo #010,"Barattolo, Edition half of pair 010 of 250. Morandi — the vessel and the air around it. Mixed scale, mixed-style, rendered deterministically from seed 1afhh5vk. Its Twin is Vapore: free to claim for whoever holds this piece.",filament_1777667058669_0014_1afhh5vk_Morandi_mixed.webp,https://unrealfilament.art/edition/#010,Morandi,Mixed,Mixed-style,Edition,10,Vapore,1afhh5vk
11,Fiasco #011,"Fiasco, Edition half of pair 011 of 250. Morandi — the vessel and the air around it. Medium scale, mixed-style, rendered deterministically from seed imb7hlbd. Its Twin is Fumo: free to claim for whoever holds this piece.",filament_1777667172540_0065_imb7hlbd_Morandi_medium.webp,https://unrealfilament.art/edition/#011,Morandi,Medium,Mixed-style,Edition,11,Fumo,imb7hlbd
12,Orcio #012,"Orcio, Edition half of pair 012 of 250. Morandi — the vessel and the air around it. Large scale, mixed-style, rendered deterministically from seed wf1tljpc. Its Twin is Spiro: free to claim for whoever holds this piece.",filament_1777667182364_0077_wf1tljpc_Morandi_large.webp,https://unrealfilament.art/edition/#012,Morandi,Large,Mixed-style,Edition,12,Spiro,wf1tljpc
13,Alzata #013,"Alzata, Edition half of pair 013 of 250. Morandi — the vessel and the air around it. Mixed scale, mixed-style, rendered deterministically from seed 8z3se0fh. Its Twin is Penombra: free to claim for whoever holds this piece.",filament_1777667205941_0102_8z3se0fh_Morandi_mixed.webp,https://unrealfilament.art/edition/#013,Morandi,Mixed,Mixed-style,Edition,13,Penombra,8z3se0fh
14,Mensola #014,"Mensola, Edition half of pair 014 of 250. Morandi — the vessel and the air around it. Mixed scale, beads, rendered deterministically from seed filament. Its Twin is Riflesso: free to claim for whoever holds this piece.",filament_filament_Morandi_mixed.webp,https://unrealfilament.art/edition/#014,Morandi,Mixed,Beads,Edition,14,Riflesso,filament
15,Torrione #015,"Torrione, Edition half of pair 015 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Mixed scale, beads, rendered deterministically from seed ewpmf5kg. Its Twin is Feritoia: free to claim for whoever holds this piece.",filament_1777569271276_0015_ewpmf5kg_Montefeltro_mixed.webp,https://unrealfilament.art/edition/#015,Montefeltro,Mixed,Beads,Edition,15,Feritoia,ewpmf5kg
16,Bastione #016,"Bastione, Edition half of pair 016 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Large scale, beads, rendered deterministically from seed vsj8dhsk. Its Twin is Loggia: free to claim for whoever holds this piece.",filament_1777569275773_0019_vsj8dhsk_Montefeltro_large.webp,https://unrealfilament.art/edition/#016,Montefeltro,Large,Beads,Edition,16,Loggia,vsj8dhsk
17,Merlo #017,"Merlo, Edition half of pair 017 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Jumbo scale, beads, rendered deterministically from seed nf62fka5. Its Twin is Balcone: free to claim for whoever holds this piece.",filament_1777569561661_0040_nf62fka5_Montefeltro_jumbo.webp,https://unrealfilament.art/edition/#017,Montefeltro,Jumbo,Beads,Edition,17,Balcone,nf62fka5
18,Rocca #018,"Rocca, Edition half of pair 018 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Jumbo scale, beads, rendered deterministically from seed zezh2zes. Its Twin is Varco: free to claim for whoever holds this piece.",filament_1777569611678_0118_zezh2zes_Montefeltro_jumbo.webp,https://unrealfilament.art/edition/#018,Montefeltro,Jumbo,Beads,Edition,18,Varco,zezh2zes
19,Cortile #019,"Cortile, Edition half of pair 019 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Jumbo scale, beads, rendered deterministically from seed dorzkgu1. Its Twin is Spiraglio: free to claim for whoever holds this piece.",filament_1777569631808_0150_dorzkgu1_Montefeltro_jumbo.webp,https://unrealfilament.art/edition/#019,Montefeltro,Jumbo,Beads,Edition,19,Spiraglio,dorzkgu1
20,Muraglia #020,"Muraglia, Edition half of pair 020 of 250. Montefeltro — the fortress wall and the gap that lets the light through. Mixed scale, mixed-style, rendered deterministically from seed r7pbw30f. Its Twin is Soglia: free to claim for whoever holds this piece.",filament_1777570195864_0010_r7pbw30f_Montefeltro_mixed.webp,https://unrealfilament.art/edition/#020,Montefeltro,Mixed,Mixed-style,Edition,20,Soglia,r7pbw30f
