pair_id,twin_name,edition_name,palette
1,Fiato,Brocca,Morandi
2,Velo,Boccale,Morandi
3,Bruma,Ciotola,Morandi
4,Foschia,Vaso,Morandi
5,Pulviscolo,Scatola,Morandi
6,Chiarore,Bottiglia,Morandi
7,Respiro,Tazza,Morandi
8,Sospiro,Anfora,Morandi
9,Nebbia,Coppa,Morandi
10,Vapore,Barattolo,Morandi
11,Fumo,Fiasco,Morandi
12,Spiro,Orcio,Morandi
13,Penombra,Alzata,Morandi
14,Riflesso,Mensola,Morandi
15,Feritoia,Torrione,Montefeltro
16,Loggia,Bastione,Montefeltro
17,Balcone,Merlo,Montefeltro
18,Varco,Rocca,Montefeltro
19,Spiraglio,Cortile,Montefeltro
20,Soglia,Muraglia,Montefeltro
21,Arcata,Contrafforte,Montefeltro
22,Abbaino,Torretta,Montefeltro
23,Ponte,Fossato,Montefeltro
24,Portale,Cinta,Montefeltro
25,Lucernario,Pilastro,Montefeltro
26,Finestrella,Bugnato,Montefeltro
27,Laguna,Stendardo,Carpaccio
28,Riva,Gonfalone,Carpaccio
29,Scia,Corteo,Carpaccio
30,Marea,Porpora,Carpaccio
31,Risacca,Damasco,Carpaccio
32,Canale,Broccato,Carpaccio
33,Specchio,Vessillo,Carpaccio
34,Bacino,Livrea,Carpaccio
35,Onda,Manto,Carpaccio
36,Corrente,Baldacchino,Carpaccio
37,Schiuma,Seta,Carpaccio
38,Riverbero,Insegna,Carpaccio
39,Fondale,Ceralacca,Carpaccio
40,Deriva,Cinabro,Carpaccio
41,Salsedine,Scarlatto,Carpaccio
42,Bonaccia,Velluto,Carpaccio
43,Frangente,Ricamo,Carpaccio
44,Approdo,Cordone,Carpaccio
45,Vallone,Crinale,Appennino
46,Conca,Vetta,Appennino
47,Gola,Dorsale,Appennino
48,Radura,Sperone,Appennino
49,Piana,Cima,Appennino
50,Forra,Costone,Appennino
51,Sella,Guglia,Appennino
52,Pascolo,Roccia,Appennino
53,Sorgente,Ghiaione,Appennino
54,Valico,Massiccio,Appennino
55,Faggeta,Pietraia,Appennino
56,Alpeggio,Balza,Appennino
57,Vallata,Cengia,Appennino
58,Fondovalle,Pinnacolo,Appennino
59,Greto,Scarpata,Appennino
60,Aurora,Mezzanotte,Notturno
61,Barlume,Buio,Notturno
62,Albore,Tenebra,Notturno
63,Allodola,Nottola,Notturno
64,Mattutino,Plenilunio,Notturno
65,Risveglio,Veglia,Notturno
66,Rugiada,Astro,Notturno
67,Aureola,Prospettiva,Piero
68,Bagliore,Compasso,Piero
69,Nimbo,Squadra,Piero
70,Splendore,Piombino,Piero
71,Trasparenza,Volume,Piero
72,Incarnato,Sinopia,Piero
73,Alone,Modulo,Piero
74,Controluce,Simmetria,Piero
75,Scogliera,Collina,Marche
76,Battigia,Podere,Marche
77,Molo,Filare,Marche
78,Sale,Grano,Marche
79,Duna,Aia,Marche
80,Boa,Solco,Marche
81,Faro,Vigneto,Marche
82,Vela,Uliveto,Marche
83,Conchiglia,Stoppia,Marche
84,Scoglio,Casolare,Marche
85,Largo,Porto,Pesaro
86,Altura,Darsena,Pesaro
87,Orizzonte,Banchina,Pesaro
88,Rotta,Gomena,Pesaro
89,Andante,Ancora,Pesaro
90,Traversata,Bitta,Pesaro
91,Miraggio,Fanale,Pesaro
92,Maestrale,Pontile,Pesaro
93,Libeccio,Sartiame,Pesaro
94,Scirocco,Chiglia,Pesaro
95,Grecale,Timone,Pesaro
96,Poppa,Prua,Pesaro
97,Tramontana,Alberatura,Pesaro
98,Coperta,Stiva,Pesaro
